table,variable,dtype,rows,missing,missing_pct,unique,zeros,negative,infinite,minimum,p01,median,p99,maximum,skew,iqr_outliers
acs_county_flows,destination_fips,string,5803110,0,0.0,3225,,,,,,,,,,
acs_county_flows,origin_code,string,5803110,110442,1.9031519306027287,14174,,,,,,,,,,
acs_county_flows,year,int64,5803110,0,0.0,12,0.0,0.0,0.0,2009.0,2009.0,2015.0,2020.0,2020.0,-0.03850402284939409,0.0
acs_county_flows,period_start,int64,5803110,0,0.0,12,0.0,0.0,0.0,2005.0,2005.0,2011.0,2016.0,2016.0,-0.03850402284939409,0.0
acs_county_flows,period_end,int64,5803110,0,0.0,12,0.0,0.0,0.0,2009.0,2009.0,2015.0,2020.0,2020.0,-0.03850402284939409,0.0
acs_county_flows,movers,float64,5803110,1752,0.030190708085836734,7026,2080565.0,0.0,0.0,0.0,0.0,8.0,516.0,48456.0,46.679793338750045,635128.0
acs_county_flows,movers_moe,float64,5803110,1752,0.030190708085836734,1763,2.0,0.0,0.0,0.0,3.0,28.0,290.0,3049.0,7.323436742291917,724761.0
acs_county_flows,origin_geography,str,5803110,0,0.0,2,,,,,,,,,,
acs_county_flows,domestic_pair,boolean,5803110,0,0.0,2,,,,,,,,,,
acs_county_flows,origin_id,string,5803110,0,0.0,23653,,,,,,,,,,
acs_state_county_flows,destination_fips,string,131135,0,0.0,3219,,,,,,,,,,
acs_state_county_flows,origin_code,string,131135,0,0.0,119,,,,,,,,,,
acs_state_county_flows,year,int64,131135,0,0.0,2,0.0,0.0,0.0,2021.0,2021.0,2021.0,2022.0,2022.0,0.016823146176755517,0.0
acs_state_county_flows,period_start,int64,131135,0,0.0,2,0.0,0.0,0.0,2017.0,2017.0,2017.0,2018.0,2018.0,0.016823146176755517,0.0
acs_state_county_flows,period_end,int64,131135,0,0.0,2,0.0,0.0,0.0,2021.0,2021.0,2021.0,2022.0,2022.0,0.016823146176755517,0.0
